Designator,Mid X,Mid Y,Rotation,Layer
A1,309.27,-58.89,90.0,bottom
D1,67.9375,-77.96,90.0,top
D10,239.3875,-77.96,90.0,top
D11,258.4375,-77.96,90.0,top
D12,277.4875,-77.96,90.0,top
D13,296.5375,-77.96,90.0,top
D14,325.1125,-77.96,90.0,top
D15,72.7,-97.01,90.0,top
D16,96.5125,-97.01,90.0,top
D17,115.5625,-97.01,90.0,top
D18,134.6125,-97.01,90.0,top
D19,153.6625,-97.01,90.0,top
D2,86.9875,-77.96,90.0,top
D20,172.7125,-97.01,90.0,top
D21,191.7625,-97.01,90.0,top
D22,210.8125,-97.01,90.0,top
D23,229.8625,-97.01,90.0,top
D24,248.9125,-97.01,90.0,top
D25,267.9625,-97.01,90.0,top
D26,287.0125,-97.01,90.0,top
D27,306.0625,-97.01,90.0,top
D28,329.875,-97.01,90.0,top
D29,75.08125,-116.06,90.0,top
D3,106.0375,-77.96,90.0,top
D30,101.275,-116.06,90.0,top
D31,120.325,-116.06,90.0,top
D32,139.375,-116.06,90.0,top
D33,158.425,-116.06,90.0,top
D34,177.475,-116.06,90.0,top
D35,196.525,-116.06,90.0,top
D36,215.575,-116.06,90.0,top
D37,234.625,-116.06,90.0,top
D38,253.675,-116.06,90.0,top
D39,272.725,-116.06,90.0,top
D4,125.0875,-77.96,90.0,top
D40,291.775,-116.06,90.0,top
D41,322.73125,-116.06,90.0,top
D42,79.84375,-135.11,90.0,top
D43,110.8,-135.11,90.0,top
D44,129.85,-135.11,90.0,top
D45,148.9,-135.11,90.0,top
D46,167.95,-135.11,90.0,top
D47,187.0,-135.11,90.0,top
D48,206.05,-135.11,90.0,top
D49,225.1,-135.11,90.0,top
D5,144.1375,-77.96,90.0,top
D50,244.15,-135.11,90.0,top
D51,263.2,-135.11,90.0,top
D52,282.25,-135.11,90.0,top
D53,317.96875,-135.11,90.0,top
D54,70.31875,-154.16,90.0,top
D55,94.13125,-154.16,90.0,top
D56,117.94375,-154.16,90.0,top
D57,189.38125,-154.16,90.0,top
D58,260.81875,-154.16,90.0,top
D59,284.63125,-154.16,90.0,top
D6,163.1875,-77.96,90.0,top
D60,308.44375,-154.16,90.0,top
D61,332.25625,-154.16,90.0,top
D7,182.2375,-77.96,90.0,top
D8,201.2875,-77.96,90.0,top
D9,220.3375,-77.96,90.0,top
H1,53.0,-172.5,90.0,top
H2,332.5,-172.5,90.0,top
H3,142.75,-53.75,90.0,top
H4,214.45,-53.75,90.0,top
H5,266.25,-56.5,0.0,top
H6,92.25,-56.5,0.0,top
H7,239.75,-172.5,0.0,top
H8,120.75,-172.5,0.0,top
J1,334.0,-127.9,0.0,top
J2,50.6,-127.9,0.0,top
J3,50.6,-78.9,0.0,top
J4,334.0,-78.8,0.0,top
J5,135.0,-58.07,0.0,top
J6,221.795,-58.605,0.0,top
SW1,58.8175,-79.76,0.0,top
SW10,230.2675,-79.76,0.0,top
SW11,249.3175,-79.76,0.0,top
SW12,268.3675,-79.76,0.0,top
SW13,287.4175,-79.76,0.0,top
SW14,315.9925,-82.7075,0.0,top
SW15,63.58,-98.81,0.0,top
SW16,87.3925,-98.81,0.0,top
SW17,106.4425,-98.81,0.0,top
SW18,125.4925,-98.81,0.0,top
SW19,144.5425,-98.81,0.0,top
SW2,77.8675,-79.76,0.0,top
SW20,163.5925,-98.81,0.0,top
SW21,182.6425,-98.81,0.0,top
SW22,201.6925,-98.81,0.0,top
SW23,220.7425,-98.81,0.0,top
SW24,239.7925,-98.81,0.0,top
SW25,258.83,-98.79,0.0,top
SW26,277.8925,-98.81,0.0,top
SW27,296.9425,-98.81,0.0,top
SW28,320.755,-98.81,0.0,top
SW29,65.96125,-117.86,0.0,top
SW3,96.9175,-79.76,0.0,top
SW30,92.155,-117.86,0.0,top
SW31,111.205,-117.86,0.0,top
SW32,130.255,-117.86,0.0,top
SW33,149.305,-117.86,0.0,top
SW34,168.355,-117.86,0.0,top
SW35,187.405,-117.86,0.0,top
SW36,206.455,-117.86,0.0,top
SW37,225.505,-117.86,0.0,top
SW38,244.555,-117.86,0.0,top
SW39,263.605,-117.86,0.0,top
SW4,115.9675,-79.76,0.0,top
SW40,282.655,-117.86,0.0,top
SW41,313.61125,-120.8075,0.0,top
SW42,70.72375,-139.8575,0.0,top
SW43,101.68,-136.91,0.0,top
SW44,120.73,-136.91,0.0,top
SW45,139.78,-136.91,0.0,top
SW46,158.83,-136.91,0.0,top
SW47,177.88,-136.91,0.0,top
SW48,196.93,-136.91,0.0,top
SW49,215.98,-136.91,0.0,top
SW5,135.0175,-79.76,0.0,top
SW50,235.03,-136.91,0.0,top
SW51,254.08,-136.91,0.0,top
SW52,273.13,-136.91,0.0,top
SW53,308.84875,-139.8575,0.0,top
SW54,61.19875,-155.96,0.0,top
SW55,85.01125,-155.96,0.0,top
SW56,108.82375,-155.96,0.0,top
SW57,180.26125,-158.9075,0.0,top
SW58,251.69875,-155.96,0.0,top
SW59,275.51125,-155.96,0.0,top
SW6,154.0675,-79.76,0.0,top
SW60,299.32375,-155.96,0.0,top
SW61,323.13625,-155.96,0.0,top
SW62,60.75,-63.0,0.0,top
SW7,173.1175,-79.76,0.0,top
SW8,192.1675,-79.76,0.0,top
SW9,211.2175,-79.76,0.0,top
