Designator,Mid X,Mid Y,Rotation,Layer
D1,146.94,-87.01,90.0,bottom
D10,165.99,-125.11,90.0,bottom
D11,185.04,-125.11,90.0,bottom
D12,204.09,-125.11,90.0,bottom
D13,146.94,-144.16,90.0,bottom
D14,165.99,-144.16,90.0,bottom
D15,185.04,-144.16,90.0,bottom
D16,204.09,-144.16,90.0,bottom
D2,165.99,-87.01,90.0,bottom
D3,185.04,-87.01,90.0,bottom
D4,204.09,-87.01,90.0,bottom
D5,146.94,-106.06,90.0,bottom
D6,165.99,-106.06,90.0,bottom
D7,185.04,-106.06,90.0,bottom
D8,204.09,-106.06,90.0,bottom
D9,146.94,-125.11,90.0,bottom
DS1,153.9,-62.1,0.0,top
H1,128.0,-161.0,90.0,top
H2,206.0,-44.5,0.0,top
H3,203.75,-163.0,0.0,top
H4,128.0,-44.5,0.0,top
J1,210.0,-74.5,0.0,top
J2,210.0,-135.4,0.0,top
J3,124.01,-74.5,180.0,top
J4,124.01,-135.5,180.0,top
SW1,139.32,-89.81,0.0,top
SW10,158.37,-127.91,0.0,top
SW11,177.42,-127.91,0.0,top
SW12,196.47,-127.91,0.0,top
SW13,139.32,-146.96,0.0,top
SW14,158.37,-146.96,0.0,top
SW15,177.42,-146.96,0.0,top
SW16,196.47,-146.96,0.0,top
SW2,158.37,-89.81,0.0,top
SW3,177.42,-89.81,0.0,top
SW4,196.47,-89.81,0.0,top
SW5,139.32,-108.86,0.0,top
SW6,158.37,-108.86,0.0,top
SW7,177.42,-108.86,0.0,top
SW8,196.47,-108.86,0.0,top
SW9,139.32,-127.91,0.0,top
U1,200.3,-62.25,0.0,top
