Designator,Mid X,Mid Y,Rotation,Layer
D1,58.915,-52.55,0.0,top
D10,112.815,-52.45,0.0,top
D100,76.83,-70.5,0.0,top
D101,82.83,-70.5,0.0,top
D102,88.83,-70.5,0.0,top
D103,94.83,-70.5,0.0,top
D104,100.83,-70.5,0.0,top
D105,106.83,-70.5,0.0,top
D106,112.83,-70.5,0.0,top
D107,118.83,-70.5,0.0,top
D108,124.83,-70.5,0.0,top
D109,130.83,-70.5,0.0,top
D11,118.815,-52.45,0.0,top
D110,136.83,-70.5,0.0,top
D111,142.83,-70.5,0.0,top
D112,148.83,-70.5,0.0,top
D113,154.83,-70.5,0.0,top
D114,160.83,-70.5,0.0,top
D115,166.83,-70.5,0.0,top
D116,172.83,-70.5,0.0,top
D117,178.83,-70.5,0.0,top
D118,184.83,-70.5,0.0,top
D119,190.83,-70.5,0.0,top
D12,124.815,-52.45,0.0,top
D120,196.83,-70.5,0.0,top
D121,202.83,-70.5,0.0,top
D122,208.83,-70.5,0.0,top
D123,214.83,-70.5,0.0,top
D124,220.83,-70.5,0.0,top
D125,226.83,-70.5,0.0,top
D126,232.83,-70.5,0.0,top
D127,238.83,-70.5,0.0,top
D128,244.83,-70.5,0.0,top
D13,130.815,-52.45,0.0,top
D14,136.815,-52.45,0.0,top
D15,142.815,-52.45,0.0,top
D16,148.815,-52.45,0.0,top
D17,154.815,-52.45,0.0,top
D18,160.815,-52.45,0.0,top
D19,166.815,-52.45,0.0,top
D2,64.83,-52.5,0.0,top
D20,172.815,-52.45,0.0,top
D21,178.815,-52.45,0.0,top
D22,184.815,-52.45,0.0,top
D23,190.815,-52.45,0.0,top
D24,196.815,-52.45,0.0,top
D25,202.815,-52.45,0.0,top
D26,208.815,-52.45,0.0,top
D27,214.815,-52.45,0.0,top
D28,220.815,-52.45,0.0,top
D29,226.815,-52.45,0.0,top
D3,70.83,-52.5,0.0,top
D30,232.815,-52.45,0.0,top
D31,238.815,-52.45,0.0,top
D32,244.8,-52.4,0.0,top
D33,58.915,-58.4,0.0,top
D34,64.915,-58.4,0.0,top
D35,70.915,-58.4,0.0,top
D36,76.915,-58.4,0.0,top
D37,82.815,-58.4,0.0,top
D38,88.815,-58.4,0.0,top
D39,94.815,-58.4,0.0,top
D4,76.83,-52.5,0.0,top
D40,100.815,-58.4,0.0,top
D41,106.815,-58.4,0.0,top
D42,112.815,-58.4,0.0,top
D43,118.815,-58.4,0.0,top
D44,124.815,-58.4,0.0,top
D45,130.815,-58.4,0.0,top
D46,136.815,-58.4,0.0,top
D47,142.815,-58.4,0.0,top
D48,148.815,-58.4,0.0,top
D49,154.815,-58.4,0.0,top
D5,82.815,-52.45,0.0,top
D50,160.815,-58.4,0.0,top
D51,166.815,-58.4,0.0,top
D52,172.815,-58.4,0.0,top
D53,178.815,-58.4,0.0,top
D54,184.815,-58.4,0.0,top
D55,190.815,-58.4,0.0,top
D56,196.815,-58.4,0.0,top
D57,202.815,-58.4,0.0,top
D58,208.815,-58.4,0.0,top
D59,214.815,-58.4,0.0,top
D6,88.815,-52.45,0.0,top
D60,220.815,-58.4,0.0,top
D61,226.815,-58.4,0.0,top
D62,232.815,-58.4,0.0,top
D63,238.8,-58.4,0.0,top
D64,244.8,-58.4,0.0,top
D65,59.015,-64.25,0.0,top
D66,65.015,-64.25,0.0,top
D67,71.015,-64.25,0.0,top
D68,77.015,-64.25,0.0,top
D69,83.015,-64.25,0.0,top
D7,94.815,-52.45,0.0,top
D70,89.015,-64.25,0.0,top
D71,95.0,-64.4,0.0,top
D72,100.7,-64.7,0.0,top
D73,106.83,-64.5,0.0,top
D74,112.83,-64.5,0.0,top
D75,118.83,-64.5,0.0,top
D76,124.83,-64.5,0.0,top
D77,130.83,-64.5,0.0,top
D78,136.83,-64.5,0.0,top
D79,142.83,-64.5,0.0,top
D8,100.815,-52.45,0.0,top
D80,148.83,-64.5,0.0,top
D81,154.83,-64.5,0.0,top
D82,160.83,-64.5,0.0,top
D83,166.83,-64.5,0.0,top
D84,172.83,-64.5,0.0,top
D85,178.83,-64.5,0.0,top
D86,184.83,-64.5,0.0,top
D87,190.83,-64.5,0.0,top
D88,196.83,-64.5,0.0,top
D89,202.83,-64.5,0.0,top
D9,106.815,-52.45,0.0,top
D90,208.83,-64.5,0.0,top
D91,214.83,-64.5,0.0,top
D92,220.83,-64.5,0.0,top
D93,226.83,-64.5,0.0,top
D94,232.83,-64.5,0.0,top
D95,238.83,-64.5,0.0,top
D96,244.83,-64.5,0.0,top
D97,58.83,-70.5,0.0,top
D98,64.83,-70.5,0.0,top
D99,70.83,-70.5,0.0,top
J1,194.855,-61.49,0.0,bottom
J2,107.845,-61.57,0.0,bottom
U1,148.663,-61.46125,0.0,bottom
